gstin,pan,name,director_name,registered_address,registered_date,declared_turnover
24DLSBQ3016N1ZZ,DLSBQ3016N,Khosla Inc,Daniel Dasgupta,"96/03, Deol Nagar, Gurgaon-819482",2026-06-23,3077171.40
36HUUSB9960H7Z8,HUUSB9960H,Guha LLC,Dev Bhasin,"01, Chandra Circle, Ballia 830166",2026-07-05,5541986.20
32JRVFD9935D4Z3,JRVFD9935D,"Jha, Taneja and Wali",Dipta Shroff,"01, Chandra Circle, Ballia 830166",2025-10-21,6754463.97
09YKOSO5432W8ZJ,YKOSO5432W,"Setty, Pathak and Mistry",Pranit Kohli,"01, Chandra Circle, Ballia 830166",2025-06-24,3103952.78
09JTCDQ6252P6Z4,JTCDQ6252P,Mital PLC,Hemal Sen,"01, Chandra Circle, Ballia 830166",2025-12-25,1505816.60
19CIPWV1049V1ZO,CIPWV1049V,Madan Group,Tanmayi Biswas,"H.No. 862, Doshi Path, Bidar 189555",2025-06-03,4675997.98
09PBGYJ2366P5ZP,PBGYJ2366P,"Bhattacharyya, Bhat and Mukherjee",Tanmayi Biswas,"H.No. 862, Doshi Path, Bidar 189555",2026-06-17,2497657.00
07IWNLV6321F8ZE,IWNLV6321F,"Sehgal, Mane and Raju",Arin Shenoy,"17/03, Dayal Road, Sikar 712768",2026-05-12,3009263.56
06ENRLT9528T9Z3,ENRLT9528T,Devan-Sani,Tanmayi Biswas,"H.No. 862, Doshi Path, Bidar 189555",2025-08-27,6474360.64
32DPUMB3137F3Z0,DPUMB3137F,"Mallick, Sagar and Parmer",Vihaan Dora,"330, Gopal Chowk, Ichalkaranji 268599",2025-08-15,851437.25
06TMEUI5957D8ZT,TMEUI5957D,Dass-Varma,Tanmayi Ramanathan,"17, Bhatia Marg, Jabalpur-721590",2025-10-12,33089962.59
36WFQAG8528A9Z5,WFQAG8528A,Acharya PLC,Harrison Patla,"962, Palan Road, Bhalswa Jahangir Pur 177774",2021-10-22,14149310.41
36QKUHT3363G8Z1,QKUHT3363G,Dhawan Inc,Alka Srinivas,"852, Bala Circle, Mysore-852538",2021-02-28,24417371.42
06XLLCH1373K6Z0,XLLCH1373K,"Thakkar, Narayan and Kapoor",Wriddhish Rattan,"75/00, Sodhi Road, Jammu-755131",2018-02-24,38880345.96
29YGPFN5167M1ZA,YGPFN5167M,Singhal and Sons,Samarth Subramanian,"51/163, Gokhale Chowk, Thoothukudi 676122",2024-03-13,1052028.80
29TPVLE8820A7ZX,TPVLE8820A,Bala and Sons,Madhav Som,"82/00, Vyas Zila, Raebareli 304348",2017-01-01,10066423.26
32JQHYS5486E9ZT,JQHYS5486E,Nanda LLC,Karan Bhat,"98/682, Doshi Circle, Gandhidham 902227",2025-06-05,1066946.80
19QAOYF9022E9Z3,QAOYF9022E,"Dara, Bhatia and Nanda",Hitesh Bhandari,"H.No. 01, Sethi Circle, Rajkot-598983",2017-01-06,45808242.37
36IBYDQ7801O8ZC,IBYDQ7801O,"Malhotra, Sethi and Trivedi",Yashica Kota,"26, Ramanathan Zila, Satna 361341",2019-06-25,1094844.85
36IRGOE6167K2ZD,IRGOE6167K,Pau and Sons,Laksh Sibal,"72, Edwin Ganj, Kottayam-563551",2026-02-15,4311483.53
33EOHXD6723F6ZQ,EOHXD6723F,"Pau, Bahl and Nigam",Ridhi Badami,"94/81, Karnik Zila, Guwahati-402426",2019-05-15,9460208.91
36MKQTJ8113D3ZB,MKQTJ8113D,"Kuruvilla, Ravi and Dixit",Eta Chakraborty,"26/140, Lad Zila, Narasaraopet 141705",2026-01-30,11950286.44
07RQSPW5140Z2ZH,RQSPW5140Z,"Sahni, Loyal and Dayal",William Choudhary,"H.No. 234, Wali Road, Ramagundam-824504",2020-05-18,5712832.56
36DOAKR6492B1ZA,DOAKR6492B,Aurora Inc,Yoshita Soman,"H.No. 678, Toor Marg, Thrissur-532650",2022-06-23,719422.43
09JOQVF4504B8ZC,JOQVF4504B,Atwal Inc,Raagini Gade,"68/493, Bath Road, Udaipur 470455",2025-06-08,1432743.89
07RMQJW3353W3ZM,RMQJW3353W,"Naik, Konda and Banerjee",Tejas Parikh,"H.No. 61, Mallick Chowk, Kulti-141269",2023-08-01,5593654.92
36CVMQV4934B6Z0,CVMQV4934B,Ramesh Inc,Daksha Kaul,"96/572, Dhillon Road, Anand 828890",2023-05-20,742254.54
27JGLFA5617I5Z0,JGLFA5617I,"Karpe, Chada and Balasubramanian",Kiaan Patel,"80, Wali Nagar, Unnao 071881",2022-11-23,578691.51
07JUHCS8296Y9Z9,JUHCS8296Y,"Vora, Bhatti and Som",Falan Lanka,"776, Srinivas Zila, Ranchi-192544",2019-08-10,6487738.94
06YQSZA9310B9ZO,YQSZA9310B,"Deol, Arora and Subramaniam",Vedika Luthra,"74/847, Shukla Chowk, Jamalpur 417047",2025-12-16,14702078.93
36AOZCX8818C4Z4,AOZCX8818C,Toor Group,Lila Kadakia,"12/84, Deo Path, Gorakhpur-377602",2019-11-02,22771614.03
32MCPVJ0931T3ZJ,MCPVJ0931T,Swamy Ltd,Nidra Mittal,"H.No. 65, Narula Zila, Anantapur-613044",2022-04-20,2573960.12
36JWQJO7718G8Z1,JWQJO7718G,Bhattacharyya-Ramaswamy,Faraj Patel,"H.No. 410, Dixit Road, Shimoga-853560",2024-03-09,8689595.41
19GCSCE8452T4Z7,GCSCE8452T,"Ratta, Jani and Buch",Nirja Seshadri,"08, Garde Street, Vijayanagaram-444463",2019-06-12,6288446.32
24PVOMJ2656K2ZL,PVOMJ2656K,Subramanian-Ramesh,Oliver Edwin,"78/37, Sengupta Path, Kolhapur 312581",2025-12-31,43650205.39
33MMSCL6404D5Z9,MMSCL6404D,Khare-Pillay,Saksham Bahri,"83, Madan Marg, Ghaziabad-495288",2025-07-15,6848491.03
06ZYUMR8310X1ZI,ZYUMR8310X,"Kalita, Chanda and Madan",Leena Ratta,"H.No. 02, Sandal Nagar, Dharmavaram-016877",2018-04-03,18181936.71
33XXUIM3478V9Z4,XXUIM3478V,Chopra and Sons,Max Vig,"H.No. 800, Kaul Street, Avadi 486111",2023-04-10,91226.64
24RGHCF5815H7Z1,RGHCF5815H,Vohra-Handa,Advika Kapoor,"47/45, Soman Ganj, Motihari 064003",2016-01-27,10086099.13
24PISLE8831I5ZS,PISLE8831I,Salvi-Bumb,Vedant Samra,"05, Patil Marg, Davanagere 481373",2020-11-01,19486854.47
06PACMQ7731H2Z6,PACMQ7731H,Hari-Kashyap,Timothy Lanka,"79/23, Sahni Chowk, Hindupur 603092",2019-04-17,45363534.02
24BUWJE4861D5ZC,BUWJE4861D,Ben-Bhasin,Maya Sengupta,"H.No. 253, Vohra Street, Patna 655721",2025-09-23,5279679.98
06KUHPQ3830N7ZC,KUHPQ3830N,Brar LLC,Indali Salvi,"54, Chahal Marg, Bhalswa Jahangir Pur 587355",2021-09-13,845210.59
06BWKWN5630Z4ZD,BWKWN5630Z,"Som, Balasubramanian and Roy",Nidhi Baria,"10, Hayer Road, Medininagar-545904",2015-09-03,791248.85
24TPTFH7609E1Z9,TPTFH7609E,"Nadig, Majumdar and Mishra",Dhruv Bajwa,"76, Sani Road, Mira-Bhayandar-204293",2024-07-16,14313845.78
06CFKGF8704V3ZL,CFKGF8704V,Nagarajan-Sharma,Farhan Vala,"361, Subramaniam Nagar, Nanded-114913",2015-09-27,2969602.52
33YGMLY4610W6ZS,YGMLY4610W,Sama Group,Oscar Kaur,"93, Dara Circle, Durg-945443",2020-12-20,10088843.52
36BOCZB4319K6Z2,BOCZB4319K,Kota-Grewal,Warinder Dube,"H.No. 16, Korpal Road, Salem 010737",2021-05-23,60178214.70
29HDPWO6467E4ZJ,HDPWO6467E,Baria-Memon,Jagdish Bedi,"H.No. 582, Lad Chowk, Aligarh-305520",2023-02-05,11244798.48
36MYFHN1078R2Z4,MYFHN1078R,Kumer Inc,Advay Narang,"941, Balay Ganj, Motihari-161682",2020-05-13,8794624.21
33ENOTV3814J8ZG,ENOTV3814J,"Walla, Chand and Gade",Anika Rout,"04, Parikh, Erode 536630",2022-02-23,35953501.47
19MIHQQ3170D1ZS,MIHQQ3170D,Dugar-Sampath,Gautam Ravi,"200, Dhar Circle, Hubli–Dharwad 822542",2025-04-25,1570734.06
29LQFOT4019W1ZL,LQFOT4019W,"Garg, Bhavsar and Chopra",Vritti Hora,"H.No. 750, Rama, Udupi 396937",2022-09-16,51477069.38
27KNVLF9413B7ZQ,KNVLF9413B,Kamdar Inc,Zarna Dugar,"H.No. 233, Barad Nagar, Kochi-978464",2019-01-02,29170405.00
33INJVJ6049L7ZN,INJVJ6049L,"Krish, Sandal and Ramachandran",Sanya Thakur,"H.No. 097, Keer Chowk, Tadipatri-276112",2024-12-11,170674.43
32CMSLO2200R6Z5,CMSLO2200R,Sani-Pau,Riya Thaman,"21/581, Thaman Nagar, Bhavnagar 191327",2016-02-08,3519181.00
27CDMPY3420P3ZO,CDMPY3420P,Gandhi-Kant,Indali Krishnan,"47/24, Srinivasan Circle, Guntakal-983550",2018-05-03,54223379.88
07FSGBM8265D9ZC,FSGBM8265D,Gopal Group,Arunima Narang,"H.No. 18, Parsa Nagar, Miryalaguda-486546",2017-01-07,22468968.94
06TORUY4649H3ZW,TORUY4649H,Dhingra-Parsa,Finn Sathe,"04/84, Munshi Road, Visakhapatnam-249668",2017-10-05,17089510.95
09TYOFZ7611E9ZS,TYOFZ7611E,Batta-Deo,Utkarsh Bath,"H.No. 954, Virk Zila, Deoghar 694923",2021-01-19,8024169.48
06QCBYQ6201T5Z8,QCBYQ6201T,Soman-Dutt,Akshay Kohli,"H.No. 124, Lalla Marg, Pimpri-Chinchwad-997987",2016-01-04,4382359.42
32LTYIF5947E9ZG,LTYIF5947E,Gandhi Inc,David Wali,"320, Arora Zila, Ajmer 389869",2014-11-01,10636487.20
36MFZZI1805O9Z6,MFZZI1805O,Trivedi LLC,Charita Bava,"67, Sethi Zila, Kamarhati-430154",2018-08-24,7889714.16
36LSELK1732T5ZX,LSELK1732T,"Ben, Lata and Sarin",Chakrika Kalla,"433, Narain Street, Pali 936877",2024-08-10,10428355.79
07XBHEJ9668L1Z2,XBHEJ9668L,"Ahuja, Bala and Sarkar",Darika Kala,"22/00, Chhabra Zila, Hapur-000201",2023-09-02,33088352.90
27JSEGL9722A2ZS,JSEGL9722A,"Batra, Bhatti and Patla",Dominic Rajagopalan,"310, Chahal Nagar, Morena 213455",2022-06-02,1741292.09
07ABURL9979Q1Z0,ABURL9979Q,Lal-Bail,Aahana Mandal,"H.No. 98, Mani Chowk, Haridwar 681570",2022-05-13,34691825.89
36RVGEN3898U2ZW,RVGEN3898U,"Kalita, Chand and Mani",Rajata Agarwal,"H.No. 057, Swamy Zila, Shimla-849243",2016-01-11,890765.90
36AMNXO1723D1ZL,AMNXO1723D,"Kata, Tara and Gandhi",Faris Swaminathan,"H.No. 16, Chadha Marg, Nagpur 344688",2017-12-05,10336512.38
33JUGCQ0243X7ZK,JUGCQ0243X,Raghavan Ltd,Triveni Date,"58/27, Naik Circle, Madhyamgram 493257",2023-05-13,73487532.57
29QWAAN3943M1ZA,QWAAN3943M,"Khanna, Tripathi and Handa",Charvi Dubey,"59/852, Narang Ganj, Rampur-213622",2024-04-11,17252096.63
27WAABE0101S7ZY,WAABE0101S,Mishra-Saran,Rohan Chopra,"670, Rastogi Nagar, Korba 702496",2022-11-30,11969856.76
36UUJPD2134K1ZG,UUJPD2134K,Kibe Group,Veer Karnik,"65, Chaudhari Road, Latur-246770",2022-03-22,25192088.36
32JTXAZ6068Y4ZY,JTXAZ6068Y,"Rout, Vasa and Goswami",Advaith Ramachandran,"H.No. 483, Iyengar Street, Salem-837805",2025-10-21,8367270.34
