seller_gstin,buyer_gstin,amount,date,goods_description,has_eway_bill
32CMSLO2200R6Z5,36HIWMV4627A6ZF,146476.95,2016-03-29,Raw cotton bales,true
19WSEJA6123K9ZZ,19FQVDH2460H4ZO,1796300.79,2016-06-09,Raw rubber sheets,true
29GOJDW2619G6ZM,07IHIOC8713E8ZN,284684.78,2016-07-09,Assembled pump units,true
24SORHP9066Z2ZO,33GUQQC4750Y8Z5,24251.60,2016-08-05,Cotton yarn,true
32CMSLO2200R6Z5,36HIWMV4627A6ZF,127029.61,2016-09-04,Crude polymer granules,true
36GDMFJ3180O4ZC,06FDZJZ1871X1ZP,360341.29,2016-09-25,Cotton yarn,true
27TZILH6929G4ZN,07IHIOC8713E8ZN,315818.24,2016-09-27,Cotton yarn,true
19RQFMU3728T6Z2,33GUQQC4750Y8Z5,14762.05,2016-10-10,Moulded plastic parts,true
24TSKYG0110D8ZX,19RQFMU3728T6Z2,84625.65,2017-01-06,Bauxite,true
36GDMFJ3180O4ZC,06FDZJZ1871X1ZP,383784.36,2017-01-09,Aluminium sheets,true
24SORHP9066Z2ZO,33GUQQC4750Y8Z5,25307.49,2017-02-23,Moulded plastic parts,true
06OUYEO4807S2ZY,07IHIOC8713E8ZN,131672.40,2017-03-23,Steel coils,true
19FQVDH2460H4ZO,27HXKTQ5235G4ZA,1177611.62,2017-03-23,Aluminium sheets,true
24SORHP9066Z2ZO,33YFHAE9497P9ZG,18422.68,2017-05-07,Moulded plastic parts,true
19QAOYF9022E9Z3,27SKWQX1255L5ZB,3072817.79,2017-06-06,Unprocessed timber,true
36RVGEN3898U2ZW,06OUYEO4807S2ZY,11092.72,2017-06-19,Bauxite,true
32AQGJY0057D6ZV,24DANYR9176S8Z7,204520.84,2017-07-21,Iron ore,true
24SORHP9066Z2ZO,33YFHAE9497P9ZG,18744.74,2017-08-03,Plywood panels,true
36GDMFJ3180O4ZC,33FOOWY4932K5ZW,412644.47,2017-08-12,Aluminium sheets,true
19WSEJA6123K9ZZ,36GDMFJ3180O4ZC,1345089.83,2017-11-03,Raw cotton bales,true
07LYWHO7356O2Z6,07IHIOC8713E8ZN,822183.07,2017-11-12,Assembled pump units,true
32ZOIZY9544B1ZL,06QCBYQ6201T5Z8,223194.60,2017-11-20,Rubber gaskets,true
32YKCYT1305Z3ZM,07IHIOC8713E8ZN,246669.13,2017-11-21,Furniture sets,true
24TQBMB5563K9ZK,07OWSPV4756N1ZN,497057.38,2017-11-22,Assembled pump units,true
29GOJDW2619G6ZM,07IHIOC8713E8ZN,287616.02,2017-12-07,Garment lots,true
27TZILH6929G4ZN,07IHIOC8713E8ZN,378407.03,2018-01-03,Rubber gaskets,true
19WSEJA6123K9ZZ,36GDMFJ3180O4ZC,1495456.85,2018-01-13,Crude polymer granules,true
33FOOWY4932K5ZW,19YNUSU1543Z9ZL,320280.48,2018-01-29,Auto spare kits,true
27HXKTQ5235G4ZA,19XTXAC5360U3ZZ,1038651.80,2018-02-12,Furniture sets,true
07XFBLY2148W1ZG,09MACAR1889T5Z3,101637.35,2018-03-13,Aluminium sheets,true
36GDMFJ3180O4ZC,24CPKFI4802U8Z3,419074.54,2018-03-13,Aluminium sheets,true
27HXKTQ5235G4ZA,29USNIB2707Y3Z6,487323.26,2018-03-18,Auto spare kits,true
24LEGQZ0248F6ZJ,07OWSPV4756N1ZN,1271276.42,2018-04-30,Packaged fittings,true
24TQBMB5563K9ZK,06XLLCH1373K6Z0,355669.07,2018-05-09,Furniture sets,true
06TORUY4649H3ZW,32YKCYT1305Z3ZM,365359.72,2018-06-19,Bauxite,true
19WSEJA6123K9ZZ,27IPCHV6936J3ZF,2015887.07,2018-06-30,Bauxite,true
32YKCYT1305Z3ZM,29USNIB2707Y3Z6,133031.45,2018-07-19,Packaged fittings,true
