gstin,pan,name,director_name,registered_address,registered_date,declared_turnover
06GKFUA8057E7ZB,GKFUA8057E,Gupta-Natarajan,Akshay Vyas,"72/312, Ghose, Bulandshahr 624217",2023-10-11,2298986.93
09KBEHO3320H1ZT,KBEHO3320H,Bhasin-Dua,Saanvi Issac,"H.No. 387, Bakshi Circle, Burhanpur-781726",2017-11-20,6150294.25
19PEMAE2640E4ZI,PEMAE2640E,Devi and Sons,Deepa Bail,"81/64, Kalita Path, Ambarnath-759599",2025-09-27,9094131.24
36TTTMF5468Y7Z2,TTTMF5468Y,"Ramachandran, Dutt and Palan",Pushti Venkataraman,"04, Kapoor Marg, Etawah 053874",2021-05-21,13479435.12
33HQOWY4180X1ZC,HQOWY4180X,Bera Ltd,Lohit Balay,"30/672, Bath Marg, Karawal Nagar 994148",2024-10-17,982706.34
33EXYPJ9941W5ZS,EXYPJ9941W,"Sarraf, Gupta and Loyal",Brijesh Nanda,"69/278, Rajan Marg, Vadodara-556557",2015-04-13,377514.66
19TYFPQ6963V7ZN,TYFPQ6963V,Ratti-Nath,Nathan Mukhopadhyay,"475, Venkataraman Marg, Tiruppur-520217",2024-10-02,30530058.72
32RKTMF4352W7ZX,RKTMF4352W,Modi-Jhaveri,Siya Deo,"242, Vohra Path, Raipur-213598",2021-07-05,13366840.43
36VOMVJ3572P3ZA,VOMVJ3572P,"Rout, Krishnan and Mitra",Leena Raju,"H.No. 83, Bora Street, Meerut-250385",2022-11-09,33080028.60
36CHKSR9644G9Z0,CHKSR9644G,Seshadri-Sastry,Jai Kapadia,"H.No. 34, Mistry Marg, Khammam 258793",2020-10-25,8964356.42
27ZEKBG8567X4ZR,ZEKBG8567X,"Mutti, More and Chada",Tanveer Wali,"H.No. 636, Mandal Zila, Raiganj-484507",2017-07-29,13085969.00
27MZXJJ5125Q6ZJ,MZXJJ5125Q,Nagy Inc,Harini Mistry,"H.No. 05, Sarna Path, Amaravati-340147",2022-10-02,12296148.65
07HZNDJ0794V8ZN,HZNDJ0794V,Raja PLC,Kabir Choudhry,"H.No. 27, Krishnamurthy Ganj, Muzaffarnagar 307445",2019-02-19,36981395.49
29KZZJA5575S4ZY,KZZJA5575S,Bora-Kala,Nitesh Om,"56, Trivedi Zila, Jehanabad 237797",2018-01-13,1122292.11
33EEDQJ6527H1ZV,EEDQJ6527H,Subramanian Inc,Amol Sinha,"63/314, Vora Ganj, Dehradun-579503",2016-07-20,757572.27
29KVLTL7561Q4ZF,KVLTL7561Q,Srinivas-Tandon,Libni Seshadri,"H.No. 862, Ravel Road, Pune-346847",2025-08-02,4518007.44
29PBDAP6263Z3ZX,PBDAP6263Z,Batra-Nair,Rajata Gaba,"42, Minhas, Siliguri-604623",2024-03-20,909728.61
29GNPPQ5996O5ZQ,GNPPQ5996O,"Korpal, Barad and Mandal",Aarini Bala,"H.No. 932, Om Circle, Gaya-110895",2025-01-27,1516566.45
32INRXW4740K7ZS,INRXW4740K,Date-Kannan,Oeshi Dhar,"31/69, Agarwal, Avadi 707882",2018-03-20,70646789.39
19EQHMB4623U5ZI,EQHMB4623U,Krishnamurthy Ltd,Vidhi Bajwa,"13, Chandra Circle, Anantapuram 575858",2024-09-18,13355710.99
19HUWUF8522H3ZL,HUWUF8522H,"Chana, Roy and Buch",Radhika Rattan,"47/618, Shroff Ganj, Begusarai-083817",2026-06-14,4191956.53
29GVVYC6999A8ZY,GVVYC6999A,"Dar, Thaker and Nagy",Warhi Dayal,"H.No. 085, Choudhry Circle, Sangli-Miraj & Kupwad 943547",2016-03-26,8210312.13
29PAIXO7138T6ZZ,PAIXO7138T,Mitra-Butala,Rajata Sodhi,"791, Nath Chowk, Khora  971904",2024-02-05,18165698.79
06RXXCN1666X7ZI,RXXCN1666X,Shetty Group,Ishani Sachar,"88, Mannan Road, Bulandshahr-135769",2023-12-01,4338427.89
33BQHRC7818K2Z0,BQHRC7818K,"Naik, Zachariah and Salvi",Nikita Narasimhan,"H.No. 18, Prashad Marg, Ghaziabad-771779",2021-06-24,10600599.89
09FHSIZ3547O8Z5,FHSIZ3547O,"Bobal, Dora and Parsa",Champak Vig,"H.No. 359, Amble Ganj, Danapur-540485",2015-08-06,24838888.41
06ITYWK9719V8ZT,ITYWK9719V,Dewan Inc,Chaitanya Vohra,"49/45, Pillai, Gopalpur 460666",2015-04-17,7511899.12
24JMRRI4906Z9ZT,JMRRI4906Z,"Das, Cherian and Manda",Wyatt Biswas,"56/928, Pillai Road, Jamnagar 278678",2026-05-15,122472.27
06KORQI4186S8ZQ,KORQI4186S,Radhakrishnan-Oza,Abhiram Bhat,"09/091, Buch Street, Bahraich-865868",2020-12-09,3160197.83
32YVLUZ5088H4ZN,YVLUZ5088H,"Deshpande, Rattan and Kothari",Alka Chokshi,"H.No. 21, Saraf Path, Noida-030479",2024-08-08,37468687.46
32JAIQK3203T5ZA,JAIQK3203T,"Keer, Deo and Morar",Priya Din,"92/62, Ghose Road, Thane 128505",2019-04-05,3081114.98
32IEWIM0666V1ZW,IEWIM0666V,Vaidya Group,Yashawini Ramanathan,"97, Barman Nagar, Farrukhabad-770914",2026-04-25,7640274.05
24NSFRJ5227E7ZZ,NSFRJ5227E,Sanghvi Ltd,Eiravati Ahluwalia,"H.No. 27, Shanker Nagar, Chittoor-259795",2020-11-08,4463372.58
19PWBTB9121H9ZO,PWBTB9121H,Ghosh-Natarajan,Omya Raman,"H.No. 60, Bumb Road, Ramagundam 410109",2017-12-07,22730140.47
24HZRKI1684Z7ZL,HZRKI1684Z,Kara and Sons,Isaiah Nagar,"H.No. 76, Balakrishnan Chowk, Aligarh-193363",2023-03-07,88176.91
24PSWHE4662L3Z8,PSWHE4662L,Raman-Sengupta,Oni Dhillon,"14/54, Nair Marg, Ujjain 226248",2015-08-06,862456.24
24XLWZB5387V8Z1,XLWZB5387V,"Anand, Das and Dani",Patrick Narayan,"97/80, Sachdeva Ganj, Avadi-189481",2019-06-20,64753614.13
19YPWOX0914C1Z7,YPWOX0914C,"Tripathi, Sharaf and Bhandari",Sai Kothari,"H.No. 01, Sarkar Marg, Kota-827669",2016-09-05,2107994.66
29YOKPR3259U6ZL,YOKPR3259U,Sarma Ltd,Eesha Kalita,"H.No. 260, Nagi Street, Nashik 523990",2015-01-26,17407369.25
32JZNBJ8104J2Z3,JZNBJ8104J,Sur and Sons,Odika Bala,"52, Bhavsar Ganj, Amritsar 767850",2024-01-15,1624050.97
32HBZLV7670G3Z6,HBZLV7670G,"Oommen, Divan and Khurana",Eshana Chakrabarti,"02/79, Goel Road, Nashik 277262",2015-07-19,11178494.02
36GKWSM7196E7ZL,GKWSM7196E,Rajagopal-Subramanian,Vaishnavi Setty,"28, Sankar Nagar, Thrissur 610637",2025-09-07,1705401.29
33QVADX9188S8ZL,QVADX9188S,Morar-Sura,Henry Baria,"H.No. 63, Yohannan Marg, Tumkur-295492",2018-01-26,1671204.19
19HNAJO1894R4Z3,HNAJO1894R,Rege-Memon,Gaurav Bumb,"74/72, Cheema Road, Rajahmundry 100293",2025-10-02,13557148.10
06QEVDV5827M5ZC,QEVDV5827M,Grover-Chaudry,Abhiram Sunder,"46/026, Karnik Marg, Dehradun 711775",2020-06-19,1342624.76
29BUKCF6025X4ZK,BUKCF6025X,"Lata, Rajagopal and Sridhar",Shivansh Saha,"422, Narayanan, Katni 494691",2018-01-31,2150436.90
29MNAKU2652G8Z4,MNAKU2652G,Tandon-Kaur,Gauri Mammen,"H.No. 36, Datta Chowk, Berhampore-345616",2024-05-26,555995.02
32ZKEYV3551D5ZT,ZKEYV3551D,Gaba LLC,Yash Sura,"H.No. 217, Bajwa Path, Bihar Sharif 433234",2025-01-29,31577451.37
06OOXVZ2627W6ZU,OOXVZ2627W,Basak Group,Bimala Setty,"H.No. 265, Pillai Street, Aligarh-043094",2017-06-22,9794609.08
09NKYGG6106H5ZV,NKYGG6106H,Sehgal Group,Adweta Saha,"88/886, Chand Ganj, Jalgaon-745909",2018-01-30,9127477.31
24WHMZR4442S5ZT,WHMZR4442S,"Guha, Madan and Ahuja",Gauri Memon,"50/577, Salvi Street, Bhubaneswar 917461",2018-08-24,32170563.12
36FIDWM3210A3ZC,FIDWM3210A,Wali LLC,Hemal Tank,"H.No. 347, Puri Street, Ludhiana 988067",2017-02-22,2130206.69
06NVIMB2663Z2Z5,NVIMB2663Z,"Andra, Garg and Palla",Madhav D’Alia,"H.No. 345, Sane Circle, Pali-614685",2020-06-25,1786794.71
27YWPKG6423I5ZP,YWPKG6423I,"Jaggi, Varty and Khalsa",Osha Pandit,"H.No. 58, Raghavan Ganj, South Dumdum 745220",2018-03-07,9542791.15
32YPHRB8594P3ZS,YPHRB8594P,Prakash Group,Yadavi Bali,"29, Shah Zila, Guntakal-518188",2022-09-04,5241098.56
07KUNDN2246H3Z9,KUNDN2246H,"Soni, Iyengar and Lala",Riya Dhingra,"H.No. 908, Nagi Street, Siwan-088897",2018-06-22,14145829.28
27HHFVG4007O3Z9,HHFVG4007O,Amble-Patla,Amara Chakrabarti,"74/23, Tak Marg, Panvel-369881",2015-06-17,13042481.25
06YSIUA4309I7ZS,YSIUA4309I,"Kar, Sahota and Bal",Ridhi Konda,"89/737, Hans Road, Gopalpur 487017",2025-09-01,55463856.67
36UQQUQ8631U6ZS,UQQUQ8631U,Varty-Bansal,Edhitha Khalsa,"H.No. 28, Khare Path, Rohtak 040197",2023-06-22,20605127.67
06YAWOK4482U8ZM,YAWOK4482U,Pall Inc,Hemani Sule,"H.No. 270, Sandhu Marg, Vellore 578062",2014-11-26,16001560.58
19WXETD7461B2ZV,WXETD7461B,"Mangal, Batta and Nayak",Pranit Dayal,"201, Khurana Ganj, Silchar 043399",2021-08-16,17387196.21
19UAIYS8806O3ZM,UAIYS8806O,Agarwal-Patla,Hamsini Pall,"896, Luthra Circle, Orai 626454",2023-03-25,3143450.53
09QNKWM7614X4ZC,QNKWM7614X,Kulkarni PLC,Aayush Agate,"79/79, Chatterjee Path, Bally 590991",2014-08-10,37942838.87
29XCJLW8362F3ZL,XCJLW8362F,Sem and Sons,Yashoda Garg,"08/73, Tara Road, Rewa 828434",2019-08-06,5843152.04
27UYQBH0629Z9ZM,UYQBH0629Z,Merchant LLC,Varenya Badami,"29/132, Narang Road, Satna-996075",2025-10-23,10663656.59
24OTESP6090Q1ZX,OTESP6090Q,Lall Ltd,Varsha Joshi,"H.No. 491, Iyengar, Raiganj 234529",2023-12-20,4704339.66
36ALKZI1768O9ZV,ALKZI1768O,Solanki PLC,Neel Dash,"99, Wali Nagar, Bilaspur 862242",2022-08-09,8537441.26
