gstin,pan,name,director_name,registered_address,registered_date,declared_turnover
33WEZAF1211U5Z3,WEZAF1211U,Raman-Naidu,Chandani Rout,"36/502, Ganesan Nagar, Siliguri 155039",2025-07-08,3771694.37
27TFUJN0778H1Z2,TFUJN0778H,Shukla Group,Aarna Gole,"36/502, Ganesan Nagar, Siliguri 155039",2026-03-18,8699347.93
06FIRNK1598G9Z2,FIRNK1598G,"Baral, Chaudhry and Barad",Nihal Krishnan,"H.No. 598, Chandra Ganj, Surendranagar Dudhrej-232282",2025-06-07,7757789.00
27HEFQF0860E1ZS,HEFQF0860E,Yogi Group,Maanav Shere,"71/02, Anne Zila, Latur-179868",2025-12-04,2449973.26
06AEWHD1798W9ZZ,AEWHD1798W,Warrior-Guha,Dayita Bal,"80/90, Bajaj Road, Shivpuri 113939",2025-12-27,6118218.08
36NJAYW0788W1Z1,NJAYW0788W,Mohan Inc,Ethan Apte,"658, Khare Street, Gaya-339130",2025-07-18,1346281.86
27PODCG9391T1ZA,PODCG9391T,Toor-Karnik,Varsha Hegde,"H.No. 491, Kara Marg, Patna-063699",2025-08-28,3591266.53
33FMKRF3123H1Z5,FMKRF3123H,Majumdar-Bora,Yahvi Parekh,"02, Madan Circle, Ludhiana 587022",2018-07-09,26208572.90
33WPACJ9163R7ZP,WPACJ9163R,Sura Inc,Darsh More,"51, Suri Ganj, Arrah 141557",2026-06-02,685078.86
19EQLBY9270F9ZG,EQLBY9270F,Sane-Tella,Vivaan Dora,"H.No. 952, Mitter Marg, Dhule 185922",2020-05-11,17847086.42
27VBVJA1751H5ZF,VBVJA1751H,Bali LLC,Tarak Acharya,"318, Gera Road, Sagar 261983",2019-08-30,707511.35
36WQVGT3295F4ZR,WQVGT3295F,Sahni LLC,Neel Venkataraman,"57/46, Singhal Path, Bidhannagar-990658",2026-01-05,9828441.59
29XLSEE3052G4ZT,XLSEE3052G,"Gandhi, Ramachandran and Cherian",Aarini Deo,"H.No. 708, Hayer Circle, Ramgarh 041711",2025-02-20,26188048.68
09RTBEN1983C4ZA,RTBEN1983C,Sachar-Dua,Eta Parsa,"H.No. 13, Ahluwalia Road, Jamshedpur 316880",2016-10-31,14115877.47
19PINVK7074T9ZP,PINVK7074T,Mander and Sons,Rushil Tella,"390, Basu Ganj, Tenali 391531",2015-12-30,21508341.52
32VRUWE9040P2ZH,VRUWE9040P,Gola Group,Fariq Barman,"92/78, Barman Street, Kamarhati-034532",2025-09-30,21227925.26
19CCKVW9692Y2ZN,CCKVW9692Y,"Chatterjee, Doshi and Keer",Pahal Wason,"H.No. 893, Saxena, Thiruvananthapuram-470463",2021-02-11,2234520.93
27YMQQB1429S4ZN,YMQQB1429S,"Grewal, Madan and Tank",Jagrati Chaudhry,"51, Natt Marg, Aurangabad 455919",2025-10-05,994787.61
06UHZTW1531F2ZV,UHZTW1531F,Sama Group,Aradhana Pandey,"H.No. 212, Narang Nagar, Panvel-656502",2018-07-24,2478597.11
36SFPRY2096H6ZC,SFPRY2096H,Buch Ltd,Vedika Kumar,"H.No. 349, Kurian Zila, Aurangabad-306918",2023-06-12,1180763.76
33NRXPW9618T2Z4,NRXPW9618T,"Patel, Jani and Deshmukh",Varenya Shanker,"42/969, Lanka Marg, Varanasi-119354",2018-09-25,15313679.58
19ISPJW5108Q1ZR,ISPJW5108Q,Sura-Apte,Jacob Om,"26/759, Walia Chowk, Chandrapur-511331",2020-09-16,7204165.77
09RNPPS4574B4ZK,RNPPS4574B,"Kapur, Subramaniam and Khosla",Harrison Rajagopalan,"H.No. 40, Parekh Street, Solapur 262922",2023-10-05,893577.68
