seller_gstin,buyer_gstin,amount,date,goods_description,has_eway_bill
06UMMBZ1398Q4Z5,19YXMBB0894S5ZN,348363.98,2015-06-22,Garment lots,true
36GAURC9832G8ZJ,29EBUKX7702T9ZW,38459.20,2015-10-02,Packaged fittings,true
27JOHEZ8538U2ZY,07XKNFN1297C8Z2,115964.54,2015-11-01,Cotton yarn,true
32LOOQU3817S5ZG,36BBWUT4830N5ZH,43563.51,2015-12-07,Cotton yarn,true
07OYOWJ1126Q7Z6,36IRHSK8740M6Z7,272763.35,2016-01-07,Assembled pump units,true
24VICEF2038B3Z7,07XKNFN1297C8Z2,296501.29,2016-01-19,Auto spare kits,true
32NTXFC2871G3ZV,29GFIQV7395E9Z3,641684.11,2016-01-26,Aluminium sheets,true
06EOFCH2182W4ZE,07WSVSJ7622I6ZN,99388.74,2016-02-23,Steel coils,true
07WSVSJ7622I6ZN,33ZAQAW3421M1ZC,407725.47,2016-03-07,Packaged fittings,true
09VLGCS4753E9ZC,33IWBSK7111Y2ZY,285096.36,2016-05-04,Furniture sets,true
36BBWUT4830N5ZH,06FUFTA8988N4Z8,145825.27,2016-05-19,Garment lots,true
36BBWUT4830N5ZH,06FUFTA8988N4Z8,138689.13,2016-05-20,Furniture sets,true
36BBWUT4830N5ZH,06FUFTA8988N4Z8,168856.85,2016-05-21,Assembled pump units,true
36BBWUT4830N5ZH,06FUFTA8988N4Z8,172916.80,2016-06-11,Kitchenware cartons,true
09JRYHP9547Z8Z0,19PINVK7074T9ZP,190646.10,2016-06-14,Kitchenware cartons,true
36PKISX6729J4ZJ,06AIDIZ6288E8ZO,67092.00,2016-06-28,Iron ore,true
09JRYHP9547Z8Z0,19PINVK7074T9ZP,183969.93,2016-06-28,Auto spare kits,true
32NTXFC2871G3ZV,32LLPNK6357F1ZM,739108.55,2016-06-29,Plywood panels,true
36BBWUT4830N5ZH,06FUFTA8988N4Z8,130161.72,2016-07-13,Assembled pump units,true
36BBWUT4830N5ZH,06FUFTA8988N4Z8,141768.46,2016-07-17,Kitchenware cartons,true
24GFVMS1800O6Z1,33ZAQAW3421M1ZC,24074.19,2016-07-18,Cotton yarn,true
09JRYHP9547Z8Z0,19PINVK7074T9ZP,169347.00,2016-07-19,Assembled pump units,true
09JRYHP9547Z8Z0,19PINVK7074T9ZP,190171.65,2016-07-26,Packaged fittings,true
32IGVXD6382F8Z8,27QNMRB6353F7ZR,178542.29,2016-08-01,Aluminium sheets,true
09JRYHP9547Z8Z0,19PINVK7074T9ZP,165362.16,2016-08-03,Kitchenware cartons,true
32LOOQU3817S5ZG,36BBWUT4830N5ZH,48366.30,2016-08-15,Rubber gaskets,true
32IGVXD6382F8Z8,27QNMRB6353F7ZR,160808.17,2016-08-18,Steel coils,true
24XBYDE7638K2ZV,06UZMKI3358L1ZQ,371722.05,2016-08-21,Assembled pump units,true
32IGVXD6382F8Z8,27QNMRB6353F7ZR,179543.50,2016-08-28,Plywood panels,true
36TAUVC0696P5Z4,24DZRRH4354M7ZS,6339.69,2016-09-13,Plywood panels,false
36TAUVC0696P5Z4,24DZRRH4354M7ZS,5944.03,2016-09-14,Plywood panels,true
19ZQLTB5343U4Z1,24NSLLG5896D9Z0,200284.12,2016-09-24,Furniture sets,true
36TAUVC0696P5Z4,24DZRRH4354M7ZS,5422.44,2016-09-27,Aluminium sheets,true
36PKISX6729J4ZJ,32RSYLQ0223K2ZF,122966.07,2016-10-14,Unprocessed timber,true
09LBIHG1357U3Z5,27NQPGL5129K6ZB,4652511.74,2016-10-17,Unprocessed timber,true
33JRTGH8758T8ZZ,19PINVK7074T9ZP,412664.28,2016-11-14,Auto spare kits,true
27PPCGL5684J3ZM,06AIDIZ6288E8ZO,160381.48,2016-11-21,Cotton yarn,true
19FQBXB8738Z5ZJ,33ZAQAW3421M1ZC,14940.01,2016-11-22,Auto spare kits,true
24XBYDE7638K2ZV,36AENZS8446J8ZE,479109.47,2016-11-26,Furniture sets,true
27ZCKTO5444T7ZH,06UZMKI3358L1ZQ,65646.56,2016-11-27,Assembled pump units,true
24XBYDE7638K2ZV,29EBUKX7702T9ZW,266711.85,2016-12-03,Kitchenware cartons,true
07WSVSJ7622I6ZN,33ZAQAW3421M1ZC,346016.71,2016-12-17,Furniture sets,false
27PPCGL5684J3ZM,33RDFAC6934H4Z0,219731.16,2016-12-24,Moulded plastic parts,false
32XLLEH8058M1ZM,06FUFTA8988N4Z8,165952.54,2017-01-08,Furniture sets,true
27JOHEZ8538U2ZY,07XKNFN1297C8Z2,113626.07,2017-01-10,Aluminium sheets,true
29GHHZJ2849M7ZD,33HJIJO9020O7Z4,206428.57,2017-01-31,Garment lots,true
24XBYDE7638K2ZV,06UZMKI3358L1ZQ,432088.64,2017-02-15,Assembled pump units,true
19AWRZY6366B5ZV,33TKUIG7182I3ZP,1675641.55,2017-02-16,Raw cotton bales,false
32LIZUT6281Q1Z4,27WDPVD4784M1ZW,28441.98,2017-02-17,Garment lots,true
33JRTGH8758T8ZZ,33QGVZB7086N8ZW,306096.06,2017-02-20,Packaged fittings,true
06VNWVT3594Y6ZF,33PRHFI9856H1ZZ,173893.05,2017-02-22,Unprocessed timber,true
27NQPGL5129K6ZB,19VGYQZ2924B4Z2,715631.24,2017-03-02,Moulded plastic parts,true
07JUUDM8979S8ZM,36QQKJS9235Z3ZJ,15738.07,2017-03-05,Packaged fittings,true
24DZRRH4354M7ZS,29GOHXI9816W2ZK,129539.67,2017-03-11,Auto spare kits,true
07OYOWJ1126Q7Z6,09RRTEI5707U5ZD,217886.42,2017-03-13,Kitchenware cartons,true
06CWPIM4224B7ZS,06HFAFM5945P1ZL,958347.47,2017-03-23,Kitchenware cartons,true
24XBYDE7638K2ZV,32PAWKZ8902F4ZN,390105.90,2017-04-04,Packaged fittings,true
07OHGAN2194R9ZO,09CUUFZ5029I9Z1,36675.48,2017-04-14,Rubber gaskets,true
07XANKW9188Z9ZJ,27ZCKTO5444T7ZH,28714.54,2017-04-21,Steel coils,true
06EOFCH2182W4ZE,07WSVSJ7622I6ZN,89974.72,2017-04-23,Cotton yarn,true
33JRTGH8758T8ZZ,33QGVZB7086N8ZW,333865.79,2017-05-06,Assembled pump units,true
32LOOQU3817S5ZG,09CUBWZ8000R4ZC,77394.54,2017-05-07,Rubber gaskets,true
24EPTPO8329E3ZB,19VGYQZ2924B4Z2,23882.07,2017-05-10,Steel coils,true
24ILBVC7592Q8ZJ,09RRTEI5707U5ZD,227078.81,2017-05-13,Garment lots,true
32KVGFK9772N3ZY,29ZJPOZ3040E8ZO,651020.62,2017-05-15,Plywood panels,true
32KVGFK9772N3ZY,29ZJPOZ3040E8ZO,702730.99,2017-05-23,Aluminium sheets,true
19VGYQZ2924B4Z2,19EMMMK2499I6ZU,1164472.63,2017-06-02,Packaged fittings,true
24GFVMS1800O6Z1,24ILBVC7592Q8ZJ,27892.83,2017-06-06,Moulded plastic parts,true
19AWRZY6366B5ZV,33TKUIG7182I3ZP,1784747.66,2017-06-10,Iron ore,true
27VTNXY1352J3ZF,32LOOQU3817S5ZG,877141.72,2017-06-15,Raw cotton bales,true
09CUBWZ8000R4ZC,19TFGHU7741B8ZG,19452.56,2017-06-17,Auto spare kits,true
32NTXFC2871G3ZV,19PINVK7074T9ZP,316135.01,2017-06-20,Aluminium sheets,true
24YEIBB0968Z9Z5,09ARSHP7746F3ZQ,7933.86,2017-06-20,Rubber gaskets,false
07EBFXY1723M5Z0,33QZMJW5964N9Z2,592945.28,2017-06-20,Auto spare kits,true
19MTNIC0871C8ZH,29ZJPOZ3040E8ZO,45959.41,2017-06-24,Packaged fittings,true
29HEABS6656C9Z1,33GFMOF6809Q9ZR,31309.10,2017-06-28,Unprocessed timber,true
07YVUEM7457C9ZE,36GAURC9832G8ZJ,26829.53,2017-07-03,Raw rubber sheets,true
07OYOWJ1126Q7Z6,36IRHSK8740M6Z7,297204.63,2017-07-07,Furniture sets,false
27WAGPM4551G4Z1,36LCZOR2260Q9ZU,117582.65,2017-07-21,Aluminium sheets,true
24EPTPO8329E3ZB,24UAROH8623F6ZK,39397.55,2017-08-01,Steel coils,true
24YEIBB0968Z9Z5,36RJLHS6311E3ZX,6822.80,2017-08-02,Plywood panels,false
27WDXOE5948P9Z4,33TKUIG7182I3ZP,42700.02,2017-08-03,Unprocessed timber,true
36TAUVC0696P5Z4,07JUUDM8979S8ZM,6139.03,2017-08-09,Aluminium sheets,true
09ECLYC7150C7ZP,19MODVZ8931V1ZK,28360.29,2017-08-13,Packaged fittings,true
24ILBVC7592Q8ZJ,33KTYIJ0653T9Z0,184539.94,2017-08-15,Furniture sets,true
29UQWZC4737L8Z4,07XOOWL7361E4Z2,219834.76,2017-08-21,Packaged fittings,true
36TAUVC0696P5Z4,07JUUDM8979S8ZM,6548.82,2017-08-23,Aluminium sheets,true
36TAUVC0696P5Z4,29ZPTTJ0999K9ZS,6931.11,2017-08-25,Rubber gaskets,false
36TAUVC0696P5Z4,29ZPTTJ0999K9ZS,7330.11,2017-09-04,Cotton yarn,true
36TAUVC0696P5Z4,07JUUDM8979S8ZM,6887.33,2017-09-10,Cotton yarn,true
36TAUVC0696P5Z4,07JUUDM8979S8ZM,6923.49,2017-09-18,Steel coils,true
32UYRYZ7752V6ZS,09JRYHP9547Z8Z0,227249.47,2017-09-21,Plywood panels,true
36TAUVC0696P5Z4,07JUUDM8979S8ZM,7022.39,2017-09-21,Aluminium sheets,true
24VICEF2038B3Z7,09RRTEI5707U5ZD,266251.13,2017-09-23,Assembled pump units,true
36TAUVC0696P5Z4,29ZPTTJ0999K9ZS,6680.19,2017-09-24,Steel coils,true
36TAUVC0696P5Z4,29ZPTTJ0999K9ZS,6806.84,2017-09-26,Moulded plastic parts,false
36TAUVC0696P5Z4,29ZPTTJ0999K9ZS,7099.06,2017-09-29,Aluminium sheets,true
36TAUVC0696P5Z4,29ZPTTJ0999K9ZS,6421.33,2017-10-01,Rubber gaskets,true
29LKWEM9651E2ZU,07XKNFN1297C8Z2,281602.02,2017-10-02,Assembled pump units,true
32XECHK8217U2ZJ,06CWPIM4224B7ZS,1251302.63,2017-10-03,Unprocessed timber,true
29LKWEM9651E2ZU,07XKNFN1297C8Z2,292566.28,2017-10-08,Auto spare kits,true
29LKWEM9651E2ZU,07XKNFN1297C8Z2,298074.19,2017-10-08,Assembled pump units,true
06UMMBZ1398Q4Z5,33QZMJW5964N9Z2,224858.47,2017-10-10,Packaged fittings,true
36TAUVC0696P5Z4,07JUUDM8979S8ZM,6444.42,2017-10-12,Moulded plastic parts,true
29LKWEM9651E2ZU,07XKNFN1297C8Z2,288190.15,2017-10-12,Garment lots,true
32XLLEH8058M1ZM,07JUUDM8979S8ZM,9143026.61,2017-10-24,Furniture sets,true
27PPCGL5684J3ZM,19YXMBB0894S5ZN,386770.02,2017-10-25,Rubber gaskets,true
27PPCGL5684J3ZM,06AIDIZ6288E8ZO,179418.91,2017-10-31,Steel coils,true
24VICEF2038B3Z7,07XKNFN1297C8Z2,296512.26,2017-11-03,Garment lots,true
07OHGAN2194R9ZO,36IJGLB8995H5ZW,76223.05,2017-11-05,Rubber gaskets,true
29HEABS6656C9Z1,33PRHFI9856H1ZZ,35240.41,2017-11-06,Raw rubber sheets,true
33GNMWC3459C8ZR,33WQVSF7827J6Z4,3259186.27,2017-11-07,Bauxite,true
29LKWEM9651E2ZU,07XKNFN1297C8Z2,223784.80,2017-11-08,Assembled pump units,true
33GNMWC3459C8ZR,33WQVSF7827J6Z4,3156994.67,2017-11-18,Raw rubber sheets,true
27PPCGL5684J3ZM,36WYPVY8076K3Z3,292257.17,2017-11-22,Steel coils,true
29ZPTTJ0999K9ZS,06UZMKI3358L1ZQ,21292.56,2017-11-22,Garment lots,false
06VNWVT3594Y6ZF,09DHBDX8593U3ZV,87572.57,2017-11-30,Unprocessed timber,true
33GNMWC3459C8ZR,09CUUFZ5029I9Z1,2306551.30,2017-12-12,Raw cotton bales,true
09ECLYC7150C7ZP,19PQRMM4466I9ZB,20833.93,2017-12-16,Furniture sets,true
27SJPYM0716W7Z2,06FUFTA8988N4Z8,154789.71,2017-12-16,Packaged fittings,true
19VLESR2232N4ZG,32HPKDX0165L1ZV,46995.83,2017-12-18,Moulded plastic parts,true
33GNMWC3459C8ZR,33WQVSF7827J6Z4,3320867.38,2017-12-19,Raw cotton bales,true
27WAGPM4551G4Z1,32PAWKZ8902F4ZN,77968.22,2017-12-19,Rubber gaskets,true
07OYOWJ1126Q7Z6,09RRTEI5707U5ZD,181324.97,2017-12-20,Furniture sets,true
33GNMWC3459C8ZR,33WQVSF7827J6Z4,2670154.34,2017-12-28,Bauxite,true
07YVUEM7457C9ZE,19YWFRM8169Y5ZR,24002.26,2018-01-03,Raw rubber sheets,true
27ESEGE0624L2ZG,06KBZCR3504Y5ZI,77150.33,2018-01-05,Auto spare kits,true
33JRTGH8758T8ZZ,19PINVK7074T9ZP,335362.13,2018-01-09,Auto spare kits,true
06UMMBZ1398Q4Z5,33PFRJA9409E4ZA,352664.47,2018-01-12,Packaged fittings,true
33WZKZU3297C2ZC,33IZUKK1955M4ZS,200964.59,2018-01-13,Unprocessed timber,true
33GNMWC3459C8ZR,09CUUFZ5029I9Z1,2472661.02,2018-01-18,Raw rubber sheets,false
32QHXUF3872N3Z5,32CRNFY6373O9Z8,21986.29,2018-01-18,Furniture sets,false
33GNMWC3459C8ZR,33WQVSF7827J6Z4,3319542.86,2018-01-20,Raw rubber sheets,true
09DSGWM5856J8ZQ,29EBUKX7702T9ZW,1326633.87,2018-01-20,Furniture sets,true
