gstin,pan,name,director_name,registered_address,registered_date,declared_turnover
24GEXJC2415X7ZY,GEXJC2415X,Hayre and Sons,Fariq Gour,"H.No. 78, Rama Marg, Ratlam 804038",2015-06-07,7155362.05
33BUIBH8097H4ZR,BUIBH8097H,"Atwal, Shetty and Kapur",Kritika Kata,"336, Mody Street, Bangalore 645593",2026-02-20,13647396.22
36NJKLT3372F3ZD,NJKLT3372F,Sidhu and Sons,Timothy More,"426, Chhabra Chowk, Vijayawada-044542",2018-12-08,17686135.94
06VCIBW4454E2ZV,VCIBW4454E,Sachdeva Group,Vidhi Biswas,"51/43, Sampath Marg, Gudivada-403565",2025-11-18,2795463.28
06FUIBH5655R6ZC,FUIBH5655R,"Pandit, Aggarwal and Banik",Ryan Suresh,"48/64, Joshi Chowk, Udaipur 579700",2025-02-08,2117357.72
27GVHFR3579U9ZZ,GVHFR3579U,"Chaudhari, Thaman and Kumar",Varsha Kakar,"34, Varkey Ganj, Korba-979360",2017-04-08,2931486.33
24NGJGZ8037Z1ZD,NGJGZ8037Z,Sarma-Mahajan,Pooja Pant,"H.No. 10, Saraf Street, Nagpur-804508",2018-04-09,9498645.05
19KCBYE6201Y1ZH,KCBYE6201Y,Sama PLC,Anthony Tiwari,"H.No. 560, Thakkar Marg, Bhilwara-299488",2024-07-11,7378788.22
36HXAQO1056V3ZE,HXAQO1056V,"Tella, Loke and Bhatnagar",Urvi Bajaj,"91/90, Bora Road, Malegaon 774016",2015-12-17,5170556.29
32VQUIR1678A1Z6,VQUIR1678A,Dhar Group,Bahadurjit Natarajan,"H.No. 019, Chawla, Avadi-396022",2023-10-15,3489759.73
24UCPWY7401V1ZV,UCPWY7401V,Subramanian-Pall,Azaan Deo,"85/10, Nair, Dewas 947153",2016-04-06,10311829.36
36XJGYT6022K8Z8,XJGYT6022K,Char and Sons,Abhimanyu Sen,"61/418, Badami Ganj, Dindigul-697053",2021-03-31,8608332.18
27SZTKV7449I2ZE,SZTKV7449I,Khosla PLC,Jeevika Solanki,"05/68, Kothari, Bijapur 406419",2024-01-11,10738331.02
32DXZZY4183V8ZQ,DXZZY4183V,"Dhar, Mangat and Padmanabhan",Eesha Dhar,"H.No. 178, Ramakrishnan Street, Guntur 743668",2025-07-18,2723483.33
07QKQCR0568T7ZJ,QKQCR0568T,Madan-Sinha,Balvan Kumar,"44/19, Wable Path, Etawah-445334",2017-02-22,4796184.93
19LJKEC4017Q8Z8,LJKEC4017Q,Viswanathan-Bhavsar,Siddharth Roy,"94, Sama Path, Raurkela Industrial Township-694695",2026-01-12,21293853.56
27YIIPY6046D6ZG,YIIPY6046D,Virk and Sons,Reva Baria,"79, Bedi, Amravati-319124",2014-10-01,14301099.69
24VJJXK3345Q3ZD,VJJXK3345Q,"Kamdar, Narula and Vasa",Zinal Lad,"H.No. 41, Gokhale Road, Thanjavur-953952",2025-09-11,3159537.51
27SNZYO5669J9ZK,SNZYO5669J,Sandal PLC,Sai Pai,"H.No. 65, Guha Road, Aizawl-815595",2016-07-23,1390597.42
19PSSBT3153D9ZD,PSSBT3153D,Bali-Goel,Sanya Ramakrishnan,"63/54, Kurian Street, Akola-234216",2024-04-11,13579146.96
33VWGYM5414S6ZK,VWGYM5414S,"Kala, Chhabra and Barad",Xavier Basak,"995, Shukla Chowk, Unnao-327117",2021-05-21,24332880.38
29ZULUF6465I9ZJ,ZULUF6465I,Ganesh-Konda,Samuel Garg,"43/30, Chakraborty Road, Satara 507346",2017-11-02,28378303.98
29ORMWR3186G5ZJ,ORMWR3186G,Som and Sons,Brijesh Sethi,"84/38, Kala Chowk, Bhilwara 165117",2021-07-07,730561.71
29UFDMQ3107T5Z2,UFDMQ3107T,Solanki Group,Harshil Kapadia,"64/162, Karpe Marg, Raichur-523654",2015-06-23,6371633.69
33CPYDH2711P3Z5,CPYDH2711P,Chawla-Divan,Darpan Aggarwal,"H.No. 925, Ahluwalia Chowk, Dibrugarh-335059",2023-04-09,11776657.17
