gstin,pan,name,director_name,registered_address,registered_date,declared_turnover
27ZPZQF8830A3ZR,ZPZQF8830A,"Ray, Sathe and Bandi",Brijesh Sarkar,"64/737, Goswami Circle, Delhi-596123",2026-01-20,8475669.43
07BNXYN9705R3ZN,BNXYN9705R,Zachariah-Tank,Brijesh Sarkar,"64/737, Goswami Circle, Delhi-596123",2025-11-16,6612540.16
27AOFRX5672F4ZF,AOFRX5672F,"D’Alia, Pillay and Bajaj",Gaurang Dash,"64/737, Goswami Circle, Delhi-596123",2025-08-22,1489688.52
09YYSXC1878M7Z9,YYSXC1878M,Setty and Sons,Nandini Sundaram,"07/313, Bobal Ganj, Karaikudi-863528",2026-04-17,3861602.87
32IACFW7071R6ZE,IACFW7071R,"Chowdhury, Golla and Garde",Tristan Nagar,"H.No. 78, Nadkarni Marg, Kharagpur-012707",2025-09-25,7035772.95
24FULKL9431F6ZB,FULKL9431F,"Pall, Natarajan and Pal",Tristan Nagar,"H.No. 78, Nadkarni Marg, Kharagpur-012707",2026-06-25,8400412.23
29VHNFX9057Q9ZF,VHNFX9057Q,"Mohan, Korpal and Chauhan",Tristan Nagar,"H.No. 78, Nadkarni Marg, Kharagpur-012707",2026-01-17,6402102.11
29PBJBI4063F3ZL,PBJBI4063F,Bhatti and Sons,Kavya Dutta,"29, Pal Nagar, Guna 332817",2026-01-08,1741719.86
36UQXPA3525T3ZU,UQXPA3525T,Subramanian-Bhandari,Tristan Nagar,"H.No. 78, Nadkarni Marg, Kharagpur-012707",2025-06-28,4523443.46
36AMVEW0495U7ZQ,AMVEW0495U,Ben-Kuruvilla,Bakhshi Saini,"H.No. 78, Nadkarni Marg, Kharagpur-012707",2026-03-23,7843120.18
29EEEDM1207Z5ZI,EEEDM1207Z,Garde Group,Hamsini Dhingra,"H.No. 428, Bala Chowk, Ambarnath-596797",2015-06-04,20307993.66
06FFMGW8098X2ZO,FFMGW8098X,Dewan-Warrior,Liam Anne,"04/953, Sama, Machilipatnam-221612",2016-04-13,35919229.24
06WTKXB3624X2ZZ,WTKXB3624X,Sekhon and Sons,Jagat Manda,"56/73, Ganesan, Udaipur-380980",2021-11-03,14093143.12
27JJWTQ8319K2ZQ,JJWTQ8319K,Ram Group,Mitali Gill,"95/036, More Street, Ambala-918908",2021-03-01,31609354.95
07AVUWO7886M4ZR,AVUWO7886M,"Naik, Varughese and Mukherjee",Ranveer Bhatt,"H.No. 15, Chokshi Marg, Srinagar 890778",2026-06-06,6615072.22
06HMMKP3107F5ZD,HMMKP3107F,"Ramachandran, Ratti and Bobal",Aryan Bava,"496, Shah Marg, Silchar-573107",2017-02-08,10003335.23
06WAFKG4621R2ZO,WAFKG4621R,Swamy LLC,Shivani Lala,"64, Raja, Nanded-346218",2019-04-17,53999200.57
24SVGIC0584E3ZH,SVGIC0584E,Buch PLC,Keya Shere,"63/559, Lal Ganj, Bhopal 842833",2019-06-19,6989613.09
27VMTID3305Z9Z1,VMTID3305Z,"Mall, Raghavan and Dugar",Unni Ratti,"42/69, Chaudhary Road, Thrissur-550189",2015-05-15,1493304.09
09AREDJ3750L1ZR,AREDJ3750L,Rao PLC,Shivani Khatri,"H.No. 437, Aggarwal Path, Rourkela 968043",2018-10-01,4536926.68
06ZSOZA9116X9Z3,ZSOZA9116X,Rau-Konda,Unni Badami,"32, Tank Nagar, Chittoor 242544",2017-10-08,6432884.98
19ELJJU0112Q1ZH,ELJJU0112Q,"Andra, Bobal and Bir",Yauvani Chaudhari,"H.No. 50, Barad Street, Panipat-201358",2025-04-20,750637.58
07DHLRI6338N6ZW,DHLRI6338N,Rege-Issac,Pallavi Brar,"805, Walia, Jaipur 772704",2025-04-21,3683592.47
36PPFOZ0403V7Z7,PPFOZ0403V,"Bhakta, Kalla and Walla",Dayita Ramakrishnan,"50/529, Bakshi Road, Nanded-886338",2015-01-10,8180865.10
09LFTIT0622R5ZW,LFTIT0622R,"Mangal, Sengupta and Patil",Wriddhish Ravi,"59/20, Bal Marg, Aligarh-885841",2020-07-10,2393314.13
27HMTFL8592A4ZD,HMTFL8592A,Khatri Ltd,Ucchal Talwar,"H.No. 26, Kapadia Marg, Morena-087305",2018-08-22,18318157.82
06FHVNT7733I5ZV,FHVNT7733I,"Sarraf, Mittal and Dewan",Nathan Puri,"H.No. 094, Shankar, Shivpuri-870052",2015-11-16,12161472.50
32ZJXEX3262M8ZI,ZJXEX3262M,Nath-Shenoy,Lopa Sem,"H.No. 547, Issac Zila, Solapur 322419",2025-05-16,4621902.16
27ALEPK7569U6ZG,ALEPK7569U,Kamdar-Varkey,Krish Tank,"H.No. 585, Hans Nagar, Anantapuram-460198",2017-02-02,17951688.55
33GTKCX4322Y9ZI,GTKCX4322Y,Kaul PLC,Vinaya Tella,"05/256, Shan Chowk, Bahraich 073991",2022-03-07,18330240.38
07KUQLA3240I4ZW,KUQLA3240I,Suri-Dubey,Agastya Madan,"H.No. 30, Grover Chowk, Saharanpur 922381",2020-07-05,7374815.74
07UAULE5677X8ZE,UAULE5677X,Warrior Ltd,Nidhi Das,"38/013, Char Ganj, Kurnool 980645",2022-08-23,1727436.24
29EFAZI5543B4ZA,EFAZI5543B,"Parmar, Sahni and Banerjee",Chakradhar Raval,"H.No. 147, Wali Road, Ramagundam-574640",2022-11-20,12831386.41
32DGWWG8013H9ZR,DGWWG8013H,Mani PLC,Vidhi Nair,"H.No. 46, Madan Zila, Ahmednagar-568173",2024-01-26,27839964.40
36VLZNB9706Y8Z5,VLZNB9706Y,"Patla, Issac and Batra",Daksha Narayanan,"H.No. 683, Balay Street, Kakinada-503735",2019-09-29,21548052.24
36MZJBD4917K5Z9,MZJBD4917K,"Prashad, Gupta and Mammen",Jyoti Srinivasan,"H.No. 24, Bhardwaj Zila, Avadi-862609",2023-08-08,36220185.76
24XNQWD7385X3ZL,XNQWD7385X,Loke-Kakar,Jairaj Bajwa,"783, Sani Street, Durg-860201",2019-08-09,59244148.12
19GFKAV3735Q8ZB,GFKAV3735Q,Sha Inc,Chanakya Borde,"894, Manne Chowk, Katni 450647",2023-01-08,2236416.06
24YYWVX1034K1ZA,YYWVX1034K,"Munshi, Lanka and Palla",Hemani Pandey,"H.No. 420, Bassi Path, Sri Ganganagar-800025",2015-12-10,689730.23
24AGMGP8326M1ZX,AGMGP8326M,"Kata, Dave and Naidu",Rushil Chatterjee,"45, Randhawa Ganj, Sagar-345346",2021-11-04,5985730.11
19UKDFQ9474N1ZH,UKDFQ9474N,Chacko PLC,Triveni Goswami,"H.No. 671, Sur Circle, Motihari-900482",2016-12-23,15016192.26
07KWILE8553U6ZA,KWILE8553U,"Agarwal, Bhatnagar and Sastry",Nikita Patla,"42, Misra, Barasat-226584",2024-02-14,16140999.95
29ZAFKS8325T5Z6,ZAFKS8325T,Ramanathan-Yogi,Jyoti Walla,"33/757, Varma Road, Suryapet 439559",2018-05-04,16931475.05
32JXXBH4534N8Z5,JXXBH4534N,"Subramanian, Warrior and Salvi",Aishani Jani,"H.No. 247, Warrior Marg, Kulti-191491",2023-01-10,1342017.50
36OBMPC8728D9Z1,OBMPC8728D,Yogi and Sons,Yashvi Toor,"66/492, Handa Marg, Jalna-634674",2025-01-18,3022820.85
36OCSNL9677X2ZE,OCSNL9677X,"Kashyap, Bhasin and Patil",Kavya Om,"H.No. 23, Chauhan Street, Kamarhati-925989",2018-10-21,23338137.07
06YLMRX1588B6ZF,YLMRX1588B,Bandi Inc,Qabil Ganguly,"H.No. 70, Dhingra Street, Dharmavaram-726651",2017-12-15,13352931.76
33VSKKT9786Y3ZG,VSKKT9786Y,"Jayaraman, Varkey and Gola",Ishaan Nayar,"58, Sood Marg, Guwahati 089425",2015-01-30,12099814.94
36FIYPN9843Q2Z7,FIYPN9843Q,"Tara, Chakrabarti and Nagar",Tanmayi Rao,"49, Sabharwal Nagar, Meerut-374498",2015-06-11,35191973.78
24QZZUH6664T7ZI,QZZUH6664T,Kaul-Saran,Hema Gupta,"H.No. 47, Chana Nagar, Coimbatore 775656",2020-04-24,32554234.74
33SXHBV5455Q3ZA,SXHBV5455Q,Vora LLC,Liam Goel,"H.No. 68, Varghese Circle, Pallavaram 821967",2024-07-04,9805375.12
29FKTQX9100V7ZB,FKTQX9100V,Saha and Sons,Anya Jhaveri,"30/596, Hora, Rewa 194037",2015-07-06,2095380.24
27SMUUO2665D2ZB,SMUUO2665D,Sampath-Pai,Kashvi Sridhar,"H.No. 820, Ram Chowk, Madhyamgram 940454",2022-11-09,14419029.95
27ZXPIC6089I8ZK,ZXPIC6089I,Barman and Sons,Balhaar Lalla,"83/01, Sankaran Road, Loni-677417",2019-05-11,7782183.50
33ZBNHU0943P7ZR,ZBNHU0943P,"Oak, Kohli and Walia",Teerth Acharya,"69/208, Srinivasan Nagar, Madurai-240293",2018-09-17,29804284.78
19ZJYJV7014C7ZU,ZJYJV7014C,Jaggi-Jain,Vasudha Murthy,"546, Misra Road, Kharagpur 392580",2014-12-21,3247334.97
27XCGLU6888M7Z9,XCGLU6888M,Korpal-Wadhwa,Nikita Kannan,"809, Bansal Nagar, Sangli-Miraj & Kupwad 678286",2015-01-07,47062077.32
24HHIGA2305T5Z7,HHIGA2305T,Kari-Divan,Harita Subramaniam,"H.No. 46, Mane Zila, Firozabad 472155",2017-05-05,860935.80
