seller_gstin,buyer_gstin,amount,date,goods_description,has_eway_bill
27VMTID3305Z9Z1,09EULJN4456L1ZL,35548.10,2015-12-23,Assembled pump units,true
09EAVZF4445T5ZF,09EULJN4456L1ZL,111762.08,2015-12-27,Auto spare kits,true
29GHOXW1991A4ZA,29EEEDM1207Z5ZI,109358.50,2015-12-31,Assembled pump units,true
27XCGLU6888M7Z9,07TUAFV0647D4Z4,2853880.09,2016-01-07,Unprocessed timber,true
33VSKKT9786Y3ZG,36EAVZD5995V1ZW,750897.12,2016-01-09,Assembled pump units,true
29FKTQX9100V7ZB,06BAGOT5114I3ZB,22061.42,2016-01-14,Kitchenware cartons,true
07TUAFV0647D4Z4,36FIYPN9843Q2Z7,659186.06,2016-03-13,Auto spare kits,true
09EAVZF4445T5ZF,36EAVZD5995V1ZW,124559.03,2016-04-30,Assembled pump units,true
36PPFOZ0403V7Z7,09EULJN4456L1ZL,293555.78,2016-05-21,Garment lots,true
09EAVZF4445T5ZF,36EAVZD5995V1ZW,114086.75,2016-06-08,Assembled pump units,true
27XCGLU6888M7Z9,07TUAFV0647D4Z4,2315626.97,2017-01-22,Raw cotton bales,true
27XCGLU6888M7Z9,33VSKKT9786Y3ZG,2616977.36,2017-03-10,Raw cotton bales,true
27ALEPK7569U6ZG,36EAVZD5995V1ZW,602709.19,2017-03-20,Furniture sets,true
19UKDFQ9474N1ZH,27ALEPK7569U6ZG,275768.68,2017-04-03,Unprocessed timber,true
36GNWQX9803V1ZI,24WDFFK6372L6ZG,845198.20,2017-04-26,Assembled pump units,true
36GNWQX9803V1ZI,09EULJN4456L1ZL,352590.87,2017-05-02,Garment lots,true
36GNWQX9803V1ZI,09EULJN4456L1ZL,451369.14,2017-06-01,Garment lots,true
29CBPWW7946Z2ZA,36GNWQX9803V1ZI,886636.23,2017-06-14,Bauxite,true
36GNWQX9803V1ZI,24WDFFK6372L6ZG,852061.18,2017-06-14,Garment lots,true
06HMMKP3107F5ZD,29EEEDM1207Z5ZI,290746.56,2017-07-20,Rubber gaskets,true
07TUAFV0647D4Z4,36FIYPN9843Q2Z7,649013.90,2017-07-22,Garment lots,true
29FKTQX9100V7ZB,06BAGOT5114I3ZB,26410.26,2017-08-15,Assembled pump units,true
27LQOKU1297U4Z3,24WDFFK6372L6ZG,750502.58,2017-08-22,Packaged fittings,true
29GHOXW1991A4ZA,06BAGOT5114I3ZB,52398.00,2017-09-18,Kitchenware cartons,false
06ZSOZA9116X9Z3,27ALEPK7569U6ZG,584680.46,2017-12-30,Cotton yarn,true
29FKTQX9100V7ZB,06BAGOT5114I3ZB,23127.27,2018-01-08,Packaged fittings,true
27ALEPK7569U6ZG,36EAVZD5995V1ZW,614094.28,2018-01-14,Auto spare kits,true
09EAVZF4445T5ZF,06BAGOT5114I3ZB,141950.87,2018-01-17,Furniture sets,true
06FFMGW8098X2ZO,36EAVZD5995V1ZW,1482994.97,2018-01-24,Garment lots,true
29FKTQX9100V7ZB,06BAGOT5114I3ZB,21794.50,2018-04-08,Auto spare kits,true
29FKTQX9100V7ZB,36EAVZD5995V1ZW,26915.83,2018-04-24,Assembled pump units,true
36PPFOZ0403V7Z7,36EAVZD5995V1ZW,326106.12,2018-05-01,Kitchenware cartons,true
29GHOXW1991A4ZA,19YDRKQ8981G8Z0,50566.05,2018-05-21,Garment lots,true
36PPFOZ0403V7Z7,06BAGOT5114I3ZB,250953.59,2018-07-13,Garment lots,true
09EAVZF4445T5ZF,06BAGOT5114I3ZB,140789.98,2018-07-24,Packaged fittings,true
06HMMKP3107F5ZD,36PPFOZ0403V7Z7,263658.70,2018-08-23,Steel coils,true
19YDRKQ8981G8Z0,29EEEDM1207Z5ZI,182289.73,2018-08-27,Recovered packaging material,true
19YDRKQ8981G8Z0,29EEEDM1207Z5ZI,194753.45,2018-09-07,Warranty replacement units,true
32BEJPU7148L1Z5,06BAGOT5114I3ZB,174028.80,2018-09-28,Rubber gaskets,true
36PPFOZ0403V7Z7,36EAVZD5995V1ZW,347294.99,2018-10-18,Assembled pump units,false
27ALEPK7569U6ZG,33ZBNHU0943P7ZR,614960.64,2018-10-23,Furniture sets,true
29CODLF5738S2ZV,06FFMGW8098X2ZO,62771.89,2018-10-30,Moulded plastic parts,true
27VMTID3305Z9Z1,33ZBNHU0943P7ZR,30379.77,2018-11-06,Assembled pump units,true
29FKTQX9100V7ZB,27HMTFL8592A4ZD,34937.22,2018-11-09,Assembled pump units,true
27ALEPK7569U6ZG,33ZBNHU0943P7ZR,623204.44,2018-11-15,Assembled pump units,true
29CODLF5738S2ZV,29GHOXW1991A4ZA,77289.84,2018-11-26,Rubber gaskets,true
32BEJPU7148L1Z5,06BAGOT5114I3ZB,157181.89,2018-11-28,Plywood panels,true
06ZSOZA9116X9Z3,06YLMRX1588B6ZF,397596.61,2018-12-24,Plywood panels,true
27VMTID3305Z9Z1,27HMTFL8592A4ZD,972557.01,2018-12-29,Kitchenware cartons,true
09EAVZF4445T5ZF,36EAVZD5995V1ZW,115101.34,2019-01-16,Kitchenware cartons,true
27VMTID3305Z9Z1,09EULJN4456L1ZL,33878.08,2019-01-23,Assembled pump units,true
09EAVZF4445T5ZF,24WDFFK6372L6ZG,109109.86,2019-02-07,Garment lots,true
29UTSSL5497K4Z2,36EAVZD5995V1ZW,240608.91,2019-02-09,Assembled pump units,true
29FKTQX9100V7ZB,36FIYPN9843Q2Z7,59578.11,2019-02-23,Packaged fittings,true
29UTSSL5497K4Z2,36EAVZD5995V1ZW,181525.40,2019-03-06,Packaged fittings,true
29GHOXW1991A4ZA,06BAGOT5114I3ZB,66083.97,2019-03-19,Assembled pump units,true
36PPFOZ0403V7Z7,09EULJN4456L1ZL,266398.63,2019-03-25,Garment lots,true
29NHUTK5280X8ZT,29EEEDM1207Z5ZI,86487.77,2019-04-04,Assembled pump units,true
36PPFOZ0403V7Z7,09EULJN4456L1ZL,293930.26,2019-05-16,Packaged fittings,true
07TUAFV0647D4Z4,33ZBNHU0943P7ZR,427902.48,2019-06-04,Packaged fittings,true
09AREDJ3750L1ZR,07TUAFV0647D4Z4,89176.51,2019-06-08,Moulded plastic parts,true
09EAVZF4445T5ZF,06BAGOT5114I3ZB,133269.89,2019-07-05,Garment lots,true
09EULJN4456L1ZL,19YDRKQ8981G8Z0,188364.46,2019-07-11,Recovered packaging material,false
27VMTID3305Z9Z1,09EULJN4456L1ZL,29840.64,2019-07-21,Furniture sets,true
06HMMKP3107F5ZD,29EEEDM1207Z5ZI,294803.66,2019-07-29,Aluminium sheets,true
29FKTQX9100V7ZB,09EULJN4456L1ZL,55973.52,2019-08-03,Furniture sets,true
29CBPWW7946Z2ZA,06ZSOZA9116X9Z3,418024.54,2019-08-16,Crude polymer granules,true
29CODLF5738S2ZV,09EULJN4456L1ZL,84920.17,2019-08-23,Rubber gaskets,true
24XNQWD7385X3ZL,29QKBDF0435G7ZL,5959046.90,2019-08-26,Crude polymer granules,true
36GNWQX9803V1ZI,06WAFKG4621R2ZO,768863.30,2019-09-13,Assembled pump units,true
09AREDJ3750L1ZR,29EEEDM1207Z5ZI,201105.80,2019-09-16,Rubber gaskets,true
36PPFOZ0403V7Z7,09EULJN4456L1ZL,354022.73,2019-09-24,Packaged fittings,true
36GNWQX9803V1ZI,06WAFKG4621R2ZO,662509.84,2019-09-25,Kitchenware cartons,true
27ALEPK7569U6ZG,33ZBNHU0943P7ZR,664806.91,2019-09-26,Kitchenware cartons,true
27ALEPK7569U6ZG,06WAFKG4621R2ZO,718012.74,2019-10-02,Garment lots,true
06RGXNS6258D5ZB,27HMTFL8592A4ZD,199586.76,2019-10-03,Furniture sets,true
29CODLF5738S2ZV,06FFMGW8098X2ZO,64659.42,2019-10-07,Aluminium sheets,true
24HHIGA2305T5Z7,29EEEDM1207Z5ZI,36035.84,2019-10-11,Rubber gaskets,true
24SVGIC0584E3ZH,29GHOXW1991A4ZA,149965.52,2019-10-25,Plywood panels,true
09EAVZF4445T5ZF,24WDFFK6372L6ZG,117098.54,2019-10-29,Auto spare kits,true
06FFMGW8098X2ZO,36OCSNL9677X2ZE,1162085.03,2019-11-13,Garment lots,false
33VSKKT9786Y3ZG,09EULJN4456L1ZL,915596.26,2019-11-14,Auto spare kits,true
27VMTID3305Z9Z1,27HMTFL8592A4ZD,19912.11,2019-11-25,Assembled pump units,true
24XNQWD7385X3ZL,06FFMGW8098X2ZO,4125524.45,2019-12-08,Raw rubber sheets,true
29ZAFKS8325T5Z6,33PVFCK5757F9ZU,964263.38,2019-12-15,Raw cotton bales,true
27ZXPIC6089I8ZK,36FIYPN9843Q2Z7,711767.17,2019-12-17,Furniture sets,true
19UKDFQ9474N1ZH,09AREDJ3750L1ZR,677462.31,2019-12-24,Raw cotton bales,true
24ZMIAB1800N3ZA,27ZXPIC6089I8ZK,227035.31,2019-12-25,Aluminium sheets,true
29UTSSL5497K4Z2,36EAVZD5995V1ZW,188023.14,2019-12-28,Garment lots,true
06HMMKP3107F5ZD,33ZBNHU0943P7ZR,486141.47,2020-01-07,Plywood panels,true
29UTSSL5497K4Z2,06WAFKG4621R2ZO,147543.60,2020-01-07,Kitchenware cartons,true
06RGXNS6258D5ZB,06BAGOT5114I3ZB,202442.22,2020-01-08,Kitchenware cartons,false
06RGXNS6258D5ZB,36VLZNB9706Y8Z5,394420.57,2020-01-09,Furniture sets,true
06HMMKP3107F5ZD,19YDRKQ8981G8Z0,441765.30,2020-01-14,Rubber gaskets,true
27LQOKU1297U4Z3,24WDFFK6372L6ZG,909331.21,2020-01-27,Garment lots,true
27LQOKU1297U4Z3,06BAGOT5114I3ZB,513031.41,2020-02-01,Furniture sets,true
09AREDJ3750L1ZR,29EEEDM1207Z5ZI,197004.47,2020-02-03,Rubber gaskets,true
29CBPWW7946Z2ZA,06RGXNS6258D5ZB,871018.02,2020-02-16,Crude polymer granules,false
32BEJPU7148L1Z5,06BAGOT5114I3ZB,137656.29,2020-02-26,Steel coils,true
19UKDFQ9474N1ZH,19ZJYJV7014C7ZU,388065.21,2020-03-11,Crude polymer granules,true
07ONTHA8211P8ZV,33ZBNHU0943P7ZR,146050.38,2020-03-14,Packaged fittings,true
